[PhaseWarpTwo]
360
Time	PhaseWarp
1	0.349465578
2	0.348584473
3	0.347774789
4	0.347062627
5	0.346402848
6	0.345819434
7	0.343886281
8	0.343449285
9	0.343046552
10	0.342766156
11	0.342561689
12	0.342422412
13	0.342360924
14	0.342378569
15	0.340391013
16	0.340574248
17	0.340832565
18	0.341175694
19	0.340917937
20	0.341426812
21	0.342027524
22	0.340633879
23	0.341419297
24	0.340208965
25	0.34118043
26	0.341531983
27	0.340615474
28	0.341865145
29	0.341087267
30	0.341837906
31	0.343418277
32	0.34302026
33	0.344112406
34	0.343962443
35	0.343911553
36	0.345357639
37	0.345596164
38	0.347290085
39	0.347804335
40	0.349784397
41	0.348484671
42	0.350752758
43	0.351867291
44	0.35235804
45	0.353660751
46	0.356573168
47	0.356258617
48	0.359468458
49	0.359528967
50	0.361055647
51	0.363523656
52	0.36540274
53	0.366254701
54	0.370644531
55	0.37183077
56	0.373305535
57	0.376208763
58	0.378044221
59	0.380128305
60	0.384420176
61	0.387035372
62	0.389685307
63	0.420042658
64	0.42270948
65	0.425582017
66	0.427625641
67	0.430660483
68	0.434950829
69	0.437330119
70	0.4398244
71	0.442344401
72	0.446998462
73	0.44884176
74	0.453422652
75	0.45520088
76	0.458901995
77	0.461744464
78	0.465234841
79	0.467751681
80	0.470187913
81	0.472318252
82	0.475357564
83	0.476273737
84	0.478675434
85	0.480469055
86	0.481423127
87	0.48194785
88	0.483233386
89	0.482568276
90	0.482579262
91	0.481717844
92	0.480413746
93	0.478474062
94	0.476758588
95	0.474430263
96	0.471573224
97	0.467776497
98	0.463779878
99	0.459699022
100	0.45531112
101	0.450285587
102	0.444806928
103	0.439098426
104	0.43322384
105	0.426378111
106	0.420000507
107	0.413948308
108	0.4068833
109	0.400166192
110	0.392461116
111	0.385675117
112	0.378610501
113	0.37158694
114	0.364721697
115	0.357689552
116	0.349707731
117	0.34389193
118	0.337148541
119	0.330722856
120	0.323074162
121	0.316921849
122	0.310771347
123	0.304964295
124	0.299451251
125	0.293787336
126	0.288885927
127	0.282504288
128	0.277900809
129	0.272005723
130	0.267541551
131	0.261930563
132	0.256710777
133	0.25331418
134	0.249788563
135	0.245084989
136	0.240667716
137	0.236479876
138	0.233703394
139	0.228072719
140	0.224380595
141	0.221020288
142	0.219149663
143	0.216096847
144	0.211268054
145	0.208571595
146	0.20605245
147	0.204926802
148	0.200751726
149	0.198662708
150	0.194710687
151	0.192916446
152	0.191280343
153	0.187726803
154	0.186324991
155	0.183044176
156	0.181880956
157	0.178821911
158	0.177909179
159	0.175070312
160	0.174491395
161	0.171881111
162	0.171404917
163	0.167579014
164	0.167310863
165	0.165088707
166	0.164997383
167	0.162939672
168	0.160952282
169	0.159748508
170	0.157972884
171	0.158322973
172	0.156685854
173	0.15512266
174	0.15226836
175	0.15293014
176	0.151632761
177	0.150381843
178	0.149884517
179	0.14878116
180	0.147806575
181	0.146875366
182	0.144556211
183	0.143772255
184	0.14510922
185	0.144470333
186	0.143878346
187	0.141936875
188	0.14149089
189	0.141119972
190	0.14082078
191	0.140603911
192	0.138981466
193	0.138908092
194	0.136815537
195	0.136881727
196	0.137023425
197	0.137238289
198	0.137534919
199	0.172652394
200	0.173147915
201	0.173740308
202	0.172329358
203	0.173083059
204	0.17184613
205	0.172777636
206	0.171718274
207	0.172829064
208	0.171958853
209	0.171187376
210	0.172589762
211	0.173507636
212	0.173056513
213	0.172703385
214	0.174552474
215	0.175927504
216	0.175940847
217	0.176065644
218	0.17776855
219	0.178173341
220	0.176617074
221	0.178779494
222	0.179631251
223	0.182130353
224	0.181198714
225	0.184000125
226	0.185512191
227	0.185082692
228	0.188490131
229	0.188521515
230	0.19231837
231	0.192740186
232	0.194901269
233	0.19784148
234	0.200491909
235	0.201886607
236	0.211141219
237	0.206044797
238	0.214374181
239	0.207810249
240	0.21677205
241	0.225926442
242	0.220478989
243	0.230392458
244	0.225673604
245	0.238336939
246	0.24916522
247	0.245917674
248	0.257409595
249	0.25506357
250	0.269411206
251	0.268150525
252	0.281067124
253	0.28294013
254	0.29630133
255	0.299431199
256	0.301185139
257	0.317166969
258	0.32206751
259	0.337890926
260	0.343576698
261	0.357160775
262	0.355073164
263	0.37918914
264	0.345692001
265	0.346983923
266	0.363528425
267	0.380023762
268	0.386652651
269	0.401995809
270	0.416983312
271	0.419410548
272	0.43339605
273	0.446494556
274	0.448767532
275	0.462967152
276	0.473920428
277	0.48358359
278	0.491964942
279	0.492697767
280	0.498834018
281	0.51117963
282	0.514847669
283	0.517073912
284	0.527821516
285	0.527728384
286	0.526225438
287	0.535342464
288	0.532010213
289	0.540522753
290	0.535564759
291	0.543165754
292	0.536826475
293	0.543876013
294	0.530257709
295	0.536314031
296	0.527702066
297	0.533641888
298	0.524641242
299	0.530492346
300	0.511080206
301	0.516765463
302	0.522499804
303	0.512973891
304	0.518891685
305	0.497110997
306	0.503135774
307	0.509302546
308	0.504899427
309	0.491128141
310	0.491436725
311	0.493609606
312	0.479259142
313	0.480062436
314	0.48279791
315	0.484019834
316	0.46954184
317	0.472663178
318	0.474454695
319	0.459702663
320	0.463426922
321	0.415546844
322	0.412460997
323	0.411110376
324	0.408420496
325	0.403860217
326	0.401444172
327	0.400689986
328	0.396577551
329	0.394554244
330	0.39266898
331	0.389009208
332	0.388906579
333	0.385403087
334	0.384018577
335	0.382766093
336	0.379621925
337	0.378607577
338	0.375722793
339	0.374930196
340	0.372201576
341	0.369563761
342	0.369087443
343	0.366648109
344	0.366351842
345	0.364134013
346	0.36405264
347	0.361938927
348	0.36000754
349	0.361267926
350	0.359471585
351	0.357752744
352	0.358131203
353	0.356563687
354	0.355073758
355	0.354270352
356	0.35296694
357	0.351698775
358	0.350507378
359	0.349393135
360	0.35045432
