[PhaseWarp]
73
Degrees	PhaseWarp
0	18.92901062
5	20.30532681
10	22.1605749
15	22.1086213
20	24.15777026
25	26.38016061
30	28.96060104
35	27.7701804
40	30.20304366
45	32.68291202
50	35.12851077
55	33.09136131
60	35.21872704
65	37.10482922
70	34.75212748
75	36.3015379
80	33.70323375
85	34.84772937
90	32.35198789
95	33.04553763
100	30.54536043
105	30.80850352
110	28.38007662
115	28.38009727
120	26.19165666
125	25.91043137
130	23.97909725
135	22.28780361
140	21.92974086
145	20.63794527
150	19.66418901
155	19.01270957
160	18.73139297
165	18.38994874
170	18.69793598
175	18.91863606
180	19.10061697
185	20.54642361
190	20.61544814
195	22.47091503
200	24.60465564
205	26.89827087
210	29.49829154
215	28.33356823
220	30.66930907
225	33.18797897
230	35.65765936
235	33.6246864
240	35.7549688
245	33.3880588
250	35.27163061
255	36.79386959
260	34.1886621
265	35.29410649
270	32.78778363
275	33.4361048
280	30.92283491
285	31.1394508
290	28.79533475
295	28.7340092
300	26.44316864
305	24.39292009
310	24.16792366
315	22.44513481
320	22.0576667
325	20.76352169
330	19.74018529
335	19.06030742
340	18.6809887
345	18.56324333
350	18.64457149
355	18.79055598
360	18.92791723
