[PhaseWarp]
73
Degrees	PhaseWarp
0	12.15479354
5	13.28923104
10	13.43102363
15	15.13758171
20	14.81283947
25	16.81531442
30	16.00606656
35	18.08416823
40	20.33133973
45	18.81775348
50	21.10474654
55	23.83184857
60	21.56011633
65	24.04214613
70	21.73870782
75	24.02928606
80	21.56419126
85	23.51592215
90	20.93521614
95	22.6090474
100	20.12710349
105	21.28355148
110	18.94202455
115	19.73503241
120	17.47658116
125	15.44595241
130	16.02013754
135	14.3732486
140	14.67010227
145	13.37755484
150	12.42241219
155	12.65306938
160	12.13832569
165	11.92573712
170	11.93937644
175	12.10334203
180	12.28550585
185	13.4921131
190	13.68564589
195	15.47709508
200	15.20327227
205	17.28791842
210	16.4591094
215	18.62461577
220	20.95274089
225	19.46353901
230	21.81588293
235	24.5907568
240	22.3258773
245	24.82541655
250	22.5230401
255	24.80050772
260	22.33015082
265	24.24271628
270	21.65211909
275	23.26662584
280	20.76910271
285	21.85637893
290	19.49446944
295	20.21349733
300	17.93170446
305	15.87500982
310	16.37422749
315	14.68681337
320	14.92313276
325	13.5854078
330	12.59899122
335	12.76975706
340	12.21037898
345	11.95147211
350	11.91528359
355	12.01917344
360	12.1515897
