[PhaseWarp]
73
Degrees	PhaseWarp
0	2.294707305
5	2.56983406
10	2.69002517
15	2.583729198
20	3.7525167
25	3.233916409
30	2.446538496
35	3.846500318
40	2.447404898
45	4.094077832
50	2.259693823
55	4.27590085
60	2.19403448
65	4.451468925
70	2.051834916
75	4.654188772
80	2.20150507
85	5.006256757
90	2.337679571
95	5.129943498
100	2.494629261
105	5.065083963
110	2.701117093
115	0.439824054
120	2.651165558
125	0.590944903
130	2.40662661
135	0.679461893
140	2.161894909
145	0.918725576
150	2.15663809
155	1.345237443
160	0.996194503
165	1.896109631
170	1.859816765
175	2.028981258
180	2.298382811
185	2.544867917
190	2.638303631
195	3.771984986
200	3.647190192
205	3.097439221
210	4.628611952
215	3.496077282
220	5.358619336
225	3.798244253
230	5.850657708
235	3.934671448
240	6.185010364
245	4.070424343
250	6.661155266
255	4.250540541
260	7.049841223
265	4.595970438
270	7.191796983
275	4.731055423
280	2.098812977
285	4.693324061
290	2.335966035
295	4.3821715
300	2.160903621
305	3.970463569
310	2.133340007
315	3.535498207
320	1.942663807
325	3.065587057
330	1.994779913
335	1.203642658
340	2.160414331
345	1.815171655
350	1.804691192
355	1.991057134
360	2.288917473
