    Time, Position (x), Position (y), Position(z), Orientation (x), Orientation (y), Orientation (z)
 [seconds], [m], [m], [m], [rad], [rad], [rad]
0,6378137,0,0,0,0.8094,0
0.01,6378140.617,0,3.4481,0,0.8094,0
0.02,6378144.23,0,6.8931,-0.0001,0.8094,-0.0001
0.03,6378147.839,0,10.335,-0.0001,0.8093,-0.0002
0.04,6378151.443,0,13.7737,-0.0002,0.8093,-0.0003
0.05,6378155.044,0,17.2093,-0.0003,0.8092,-0.0005
0.06,6378158.64,0,20.6419,-0.0005,0.8091,-0.0006
0.07,6378162.232,-0.0001,24.0713,-0.0006,0.8089,-0.0008
0.08,6378165.819,-0.0001,27.4976,-0.0007,0.8088,-0.001
0.09,6378169.403,-0.0002,30.9208,-0.0008,0.8086,-0.0011
0.1,6378172.982,-0.0003,34.341,-0.0009,0.8083,-0.0013
0.11,6378176.557,-0.0004,37.758,-0.001,0.8081,-0.0014
0.12,6378180.128,-0.0005,41.172,-0.001,0.8079,-0.0014
0.13,6378183.694,-0.0006,44.5829,-0.001,0.8076,-0.0014
0.14,6378187.257,-0.0008,47.9908,-0.001,0.8074,-0.0014
0.15,6378190.815,-0.001,51.3956,-0.001,0.8071,-0.0013
0.16,6378194.369,-0.0012,54.7974,-0.0009,0.8069,-0.0012
0.17,6378197.919,-0.0015,58.1962,-0.0008,0.8067,-0.0011
0.18,6378201.465,-0.0017,61.5919,-0.0007,0.8065,-0.0009
0.19,6378205.006,-0.002,64.9846,-0.0006,0.8063,-0.0008
0.2,6378208.544,-0.0023,68.3743,-0.0004,0.8062,-0.0006
0.21,6378212.077,-0.0026,71.761,-0.0003,0.8061,-0.0005
0.22,6378215.607,-0.0029,75.1447,-0.0002,0.806,-0.0003
0.23,6378219.132,-0.0032,78.5253,-0.0002,0.806,-0.0002
0.24,6378222.653,-0.0035,81.903,-0.0001,0.806,-0.0002
0.25,6378226.17,-0.0038,85.2777,-0.0001,0.8059,-0.0001
0.26,6378229.682,-0.0041,88.6494,-0.0001,0.8059,-0.0001
0.27,6378233.191,-0.0044,92.0181,-0.0001,0.8059,-0.0002
0.28,6378236.696,-0.0047,95.3839,-0.0002,0.8058,-0.0003
0.29,6378240.196,-0.005,98.7466,-0.0003,0.8058,-0.0004
0.3,6378243.693,-0.0053,102.1064,-0.0004,0.8057,-0.0005
0.31,6378247.185,-0.0056,105.4632,-0.0005,0.8056,-0.0007
0.32,6378250.674,-0.006,108.817,-0.0006,0.8055,-0.0009
0.33,6378254.158,-0.0063,112.1679,-0.0007,0.8053,-0.001
0.34,6378257.638,-0.0067,115.5159,-0.0009,0.8052,-0.0012
0.35,6378261.115,-0.007,118.8608,-0.001,0.8049,-0.0013
0.36,6378264.587,-0.0074,122.2029,-0.001,0.8047,-0.0014
0.37,6378268.055,-0.0078,125.542,-0.0011,0.8045,-0.0015
0.38,6378271.519,-0.0083,128.8782,-0.0011,0.8042,-0.0016
0.39,6378274.979,-0.0087,132.2114,-0.0011,0.804,-0.0016
0.4,6378278.436,-0.0092,135.5418,-0.0011,0.8037,-0.0015
0.41,6378281.888,-0.0097,138.8692,-0.0011,0.8035,-0.0015
0.42,6378285.336,-0.0103,142.1938,-0.001,0.8032,-0.0014
0.43,6378288.78,-0.0108,145.5154,-0.0009,0.803,-0.0012
0.44,6378292.22,-0.0114,148.8342,-0.0008,0.8029,-0.0011
0.45,6378295.657,-0.0119,152.15,-0.0007,0.8027,-0.0009
0.46,6378299.089,-0.0125,155.4631,-0.0006,0.8026,-0.0008
0.47,6378302.517,-0.0131,158.7732,-0.0005,0.8025,-0.0006
0.48,6378305.941,-0.0137,162.0805,-0.0004,0.8024,-0.0005
0.49,6378309.362,-0.0143,165.3849,-0.0003,0.8023,-0.0004
0.5,6378312.778,-0.0149,168.6864,-0.0002,0.8023,-0.0003
0.51,6378316.191,-0.0155,171.9851,-0.0002,0.8022,-0.0003
0.52,6378319.599,-0.0162,175.281,-0.0002,0.8022,-0.0003
0.53,6378323.004,-0.0168,178.574,-0.0002,0.8022,-0.0003
0.54,6378326.405,-0.0174,181.8641,-0.0003,0.8021,-0.0004
0.55,6378329.801,-0.018,185.1514,-0.0003,0.8021,-0.0005
0.56,6378333.194,-0.0186,188.4359,-0.0004,0.802,-0.0006
0.57,6378336.583,-0.0192,191.7175,-0.0005,0.8019,-0.0007
0.58,6378339.968,-0.0199,194.9963,-0.0007,0.8018,-0.0009
0.59,6378343.35,-0.0205,198.2723,-0.0008,0.8017,-0.0011
0.6,6378346.727,-0.0212,201.5455,-0.0009,0.8015,-0.0012
0.61,6378350.1,-0.0218,204.8159,-0.001,0.8013,-0.0014
0.62,6378353.47,-0.0225,208.0834,-0.0011,0.8011,-0.0015
0.63,6378356.836,-0.0232,211.3482,-0.0012,0.8008,-0.0016
0.64,6378360.198,-0.024,214.6101,-0.0012,0.8006,-0.0017
0.65,6378363.556,-0.0247,217.8693,-0.0013,0.8003,-0.0017
0.66,6378366.91,-0.0255,221.1257,-0.0013,0.8001,-0.0017
0.67,6378370.26,-0.0263,224.3793,-0.0012,0.7998,-0.0017
0.68,6378373.607,-0.0271,227.6301,-0.0012,0.7996,-0.0016
0.69,6378376.95,-0.0279,230.8782,-0.0011,0.7994,-0.0015
0.7,6378380.288,-0.0288,234.1235,-0.001,0.7991,-0.0014
0.71,6378383.623,-0.0297,237.3661,-0.0009,0.799,-0.0013
0.72,6378386.955,-0.0305,240.6059,-0.0008,0.7988,-0.0011
0.73,6378390.282,-0.0314,243.843,-0.0007,0.7986,-0.001
0.74,6378393.606,-0.0323,247.0773,-0.0006,0.7985,-0.0008
0.75,6378396.926,-0.0332,250.309,-0.0005,0.7984,-0.0007
0.76,6378400.242,-0.0342,253.5379,-0.0004,0.7984,-0.0006
0.77,6378403.554,-0.0351,256.764,-0.0004,0.7983,-0.0005
0.78,6378406.862,-0.036,259.9875,-0.0003,0.7983,-0.0004
0.79,6378410.167,-0.0369,263.2082,-0.0003,0.7982,-0.0004
0.8,6378413.468,-0.0378,266.4263,-0.0003,0.7982,-0.0004
0.81,6378416.765,-0.0388,269.6416,-0.0004,0.7981,-0.0005
0.82,6378420.058,-0.0397,272.8542,-0.0004,0.7981,-0.0006
0.83,6378423.348,-0.0406,276.0641,-0.0005,0.798,-0.0007
0.84,6378426.634,-0.0416,279.2713,-0.0006,0.7979,-0.0008
0.85,6378429.916,-0.0425,282.4758,-0.0007,0.7978,-0.001
0.86,6378433.195,-0.0434,285.6776,-0.0008,0.7977,-0.0011
0.87,6378436.469,-0.0444,288.8768,-0.0009,0.7975,-0.0013
0.88,6378439.74,-0.0454,292.0732,-0.001,0.7974,-0.0014
0.89,6378443.008,-0.0464,295.267,-0.0011,0.7972,-0.0016
0.9,6378446.271,-0.0474,298.4581,-0.0012,0.7969,-0.0017
0.91,6378449.531,-0.0484,301.6465,-0.0013,0.7967,-0.0018
0.92,6378452.788,-0.0495,304.8323,-0.0013,0.7964,-0.0019
0.93,6378456.04,-0.0505,308.0154,-0.0014,0.7962,-0.0019
0.94,6378459.289,-0.0516,311.1959,-0.0014,0.7959,-0.0019
0.95,6378462.534,-0.0527,314.3737,-0.0014,0.7957,-0.0019
0.96,6378465.776,-0.0538,317.5489,-0.0013,0.7954,-0.0018
0.97,6378469.014,-0.055,320.7215,-0.0012,0.7952,-0.0017
0.98,6378472.248,-0.0562,323.8915,-0.0012,0.795,-0.0016
0.99,6378475.478,-0.0573,327.0588,-0.0011,0.7948,-0.0015
1,6378478.705,-0.0585,330.2235,-0.001,0.7946,-0.0013
1.01,6378481.928,-0.0597,333.3856,-0.0009,0.7945,-0.0012
1.02,6378485.148,-0.061,336.5451,-0.0008,0.7943,-0.001
1.03,6378488.364,-0.0622,339.702,-0.0007,0.7942,-0.0009
1.04,6378491.576,-0.0634,342.8563,-0.0006,0.7941,-0.0008
1.05,6378494.785,-0.0646,346.0081,-0.0005,0.7941,-0.0007
1.06,6378497.99,-0.0659,349.1572,-0.0005,0.794,-0.0006
1.07,6378501.191,-0.0671,352.3037,-0.0004,0.7939,-0.0006
1.08,6378504.389,-0.0684,355.4477,-0.0004,0.7939,-0.0006
1.09,6378507.583,-0.0696,358.5891,-0.0005,0.7938,-0.0006
1.1,6378510.773,-0.0708,361.7279,-0.0005,0.7938,-0.0007
1.11,6378513.96,-0.0721,364.8641,-0.0006,0.7937,-0.0008
1.12,6378517.144,-0.0733,367.9977,-0.0006,0.7937,-0.0009
1.13,6378520.324,-0.0746,371.1288,-0.0007,0.7936,-0.001
1.14,6378523.5,-0.0759,374.2574,-0.0008,0.7934,-0.0012
1.15,6378526.673,-0.0771,377.3833,-0.0009,0.7933,-0.0013
1.16,6378529.842,-0.0784,380.5067,-0.0011,0.7931,-0.0015
1.17,6378533.007,-0.0797,383.6276,-0.0012,0.793,-0.0016
1.18,6378536.169,-0.081,386.7459,-0.0013,0.7928,-0.0018
1.19,6378539.328,-0.0824,389.8617,-0.0014,0.7925,-0.0019
1.2,6378542.483,-0.0837,392.9749,-0.0014,0.7923,-0.002
1.21,6378545.634,-0.0851,396.0856,-0.0015,0.7921,-0.0021
1.22,6378548.782,-0.0865,399.1938,-0.0015,0.7918,-0.0021
1.23,6378551.926,-0.0879,402.2995,-0.0015,0.7915,-0.0021
1.24,6378555.067,-0.0893,405.4026,-0.0015,0.7913,-0.0021
1.25,6378558.204,-0.0907,408.5033,-0.0015,0.791,-0.0021
1.26,6378561.338,-0.0922,411.6014,-0.0014,0.7908,-0.002
1.27,6378564.468,-0.0937,414.697,-0.0014,0.7906,-0.0019
1.28,6378567.595,-0.0952,417.7902,-0.0013,0.7903,-0.0018
1.29,6378570.718,-0.0967,420.8809,-0.0012,0.7901,-0.0016
1.3,6378573.838,-0.0982,423.969,-0.0011,0.79,-0.0015
1.31,6378576.954,-0.0998,427.0547,-0.001,0.7898,-0.0014
1.32,6378580.067,-0.1013,430.138,-0.0009,0.7897,-0.0012
1.33,6378583.176,-0.1029,433.2187,-0.0008,0.7896,-0.0011
1.34,6378586.282,-0.1044,436.297,-0.0007,0.7895,-0.001
1.35,6378589.384,-0.106,439.3729,-0.0007,0.7894,-0.0009
1.36,6378592.483,-0.1076,442.4462,-0.0006,0.7893,-0.0008
1.37,6378595.578,-0.1091,445.5172,-0.0006,0.7893,-0.0008
1.38,6378598.67,-0.1107,448.5856,-0.0006,0.7892,-0.0008
1.39,6378601.759,-0.1123,451.6516,-0.0006,0.7891,-0.0008
1.4,6378604.844,-0.1138,454.7152,-0.0006,0.7891,-0.0008
1.41,6378607.925,-0.1154,457.7763,-0.0007,0.789,-0.0009
1.42,6378611.004,-0.117,460.835,-0.0007,0.7889,-0.001
1.43,6378614.078,-0.1186,463.8912,-0.0008,0.7888,-0.0011
1.44,6378617.15,-0.1202,466.945,-0.0009,0.7887,-0.0013
1.45,6378620.217,-0.1218,469.9964,-0.001,0.7886,-0.0014
1.46,6378623.282,-0.1234,473.0453,-0.0011,0.7885,-0.0016
1.47,6378626.343,-0.125,476.0918,-0.0012,0.7883,-0.0017
1.48,6378629.401,-0.1267,479.1359,-0.0013,0.7881,-0.0019
1.49,6378632.455,-0.1283,482.1776,-0.0014,0.7879,-0.002
1.5,6378635.506,-0.13,485.2169,-0.0015,0.7877,-0.0021
1.51,6378638.553,-0.1317,488.2537,-0.0016,0.7874,-0.0022
1.52,6378641.597,-0.1334,491.2882,-0.0016,0.7872,-0.0023
1.53,6378644.638,-0.1351,494.3203,-0.0017,0.7869,-0.0023
1.54,6378647.675,-0.1369,497.3499,-0.0017,0.7866,-0.0023
1.55,6378650.709,-0.1386,500.3772,-0.0017,0.7864,-0.0023
1.56,6378653.74,-0.1404,503.4022,-0.0016,0.7861,-0.0023
1.57,6378656.767,-0.1422,506.4247,-0.0016,0.7859,-0.0022
1.58,6378659.791,-0.144,509.4449,-0.0015,0.7856,-0.0021
1.59,6378662.812,-0.1459,512.4627,-0.0015,0.7854,-0.002
1.6,6378665.829,-0.1477,515.4781,-0.0014,0.7852,-0.0019
1.61,6378668.843,-0.1496,518.4912,-0.0013,0.785,-0.0018
1.62,6378671.853,-0.1515,521.5019,-0.0012,0.7848,-0.0016
1.63,6378674.86,-0.1534,524.5103,-0.0011,0.7847,-0.0015
1.64,6378677.864,-0.1553,527.5164,-0.001,0.7846,-0.0014
1.65,6378680.864,-0.1572,530.5201,-0.0009,0.7844,-0.0013
1.66,6378683.862,-0.1591,533.5214,-0.0008,0.7843,-0.0012
1.67,6378686.855,-0.161,536.5205,-0.0008,0.7843,-0.0011
1.68,6378689.846,-0.1629,539.5172,-0.0008,0.7842,-0.001
1.69,6378692.833,-0.1648,542.5115,-0.0007,0.7841,-0.001
1.7,6378695.817,-0.1667,545.5036,-0.0007,0.7841,-0.001
1.71,6378698.798,-0.1687,548.4933,-0.0007,0.784,-0.001
1.72,6378701.775,-0.1706,551.4807,-0.0008,0.7839,-0.0011
1.73,6378704.749,-0.1725,554.4658,-0.0008,0.7838,-0.0011
1.74,6378707.72,-0.1745,557.4485,-0.0009,0.7838,-0.0012
1.75,6378710.687,-0.1764,560.429,-0.001,0.7837,-0.0013
1.76,6378713.651,-0.1783,563.4072,-0.0011,0.7835,-0.0015
1.77,6378716.612,-0.1803,566.383,-0.0012,0.7834,-0.0016
1.78,6378719.57,-0.1823,569.3565,-0.0013,0.7833,-0.0017
1.79,6378722.524,-0.1842,572.3278,-0.0014,0.7831,-0.0019
1.8,6378725.476,-0.1862,575.2967,-0.0015,0.7829,-0.002
1.81,6378728.423,-0.1882,578.2634,-0.0016,0.7827,-0.0022
1.82,6378731.368,-0.1902,581.2278,-0.0016,0.7825,-0.0023
1.83,6378734.31,-0.1923,584.1899,-0.0017,0.7822,-0.0024
1.84,6378737.248,-0.1943,587.1497,-0.0018,0.782,-0.0025
1.85,6378740.183,-0.1964,590.1072,-0.0018,0.7817,-0.0025
1.86,6378743.114,-0.1985,593.0625,-0.0018,0.7815,-0.0026
1.87,6378746.043,-0.2006,596.0155,-0.0019,0.7812,-0.0026
1.88,6378748.968,-0.2027,598.9663,-0.0018,0.7809,-0.0026
1.89,6378751.89,-0.2049,601.9148,-0.0018,0.7807,-0.0025
1.9,6378754.809,-0.207,604.861,-0.0018,0.7804,-0.0025
1.91,6378757.725,-0.2092,607.805,-0.0017,0.7802,-0.0024
1.92,6378760.637,-0.2114,610.7468,-0.0016,0.78,-0.0023
1.93,6378763.547,-0.2136,613.6864,-0.0016,0.7797,-0.0022
1.94,6378766.453,-0.2158,616.6237,-0.0015,0.7795,-0.0021
1.95,6378769.355,-0.2181,619.5587,-0.0014,0.7794,-0.0019
1.96,6378772.255,-0.2203,622.4916,-0.0013,0.7792,-0.0018
1.97,6378775.152,-0.2226,625.4222,-0.0012,0.7791,-0.0017
1.98,6378778.045,-0.2248,628.3507,-0.0011,0.7789,-0.0016
1.99,6378780.935,-0.2271,631.2769,-0.0011,0.7788,-0.0015
2,6378783.822,-0.2294,634.2009,-0.001,0.7787,-0.0014
2.01,6378786.706,-0.2317,637.1227,-0.0009,0.7786,-0.0013
2.02,6378789.586,-0.2339,640.0422,-0.0009,0.7785,-0.0012
2.03,6378792.464,-0.2362,642.9596,-0.0009,0.7785,-0.0012
2.04,6378795.338,-0.2385,645.8748,-0.0009,0.7784,-0.0012
2.05,6378798.209,-0.2408,648.7878,-0.0009,0.7783,-0.0012
2.06,6378801.077,-0.2431,651.6986,-0.0009,0.7782,-0.0013
2.07,6378803.942,-0.2454,654.6072,-0.001,0.7782,-0.0014
2.08,6378806.804,-0.2477,657.5136,-0.0011,0.7781,-0.0015
2.09,6378809.663,-0.25,660.4178,-0.0011,0.778,-0.0016
2.1,6378812.518,-0.2523,663.3199,-0.0012,0.7778,-0.0017
2.11,6378815.37,-0.2546,666.2198,-0.0013,0.7777,-0.0018
2.12,6378818.22,-0.257,669.1174,-0.0014,0.7775,-0.002
2.13,6378821.066,-0.2593,672.013,-0.0015,0.7774,-0.0021
2.14,6378823.909,-0.2617,674.9063,-0.0016,0.7772,-0.0023
2.15,6378826.749,-0.264,677.7975,-0.0017,0.777,-0.0024
2.16,6378829.586,-0.2664,680.6865,-0.0018,0.7768,-0.0025
2.17,6378832.42,-0.2688,683.5734,-0.0019,0.7765,-0.0026
2.18,6378835.25,-0.2712,686.4581,-0.0019,0.7763,-0.0027
2.19,6378838.078,-0.2737,689.3406,-0.002,0.776,-0.0028
2.2,6378840.903,-0.2761,692.221,-0.002,0.7758,-0.0028
2.21,6378843.724,-0.2786,695.0993,-0.002,0.7755,-0.0029
2.22,6378846.542,-0.2811,697.9755,-0.0021,0.7752,-0.0029
2.23,6378849.358,-0.2836,700.8495,-0.002,0.775,-0.0029
2.24,6378852.17,-0.2861,703.7214,-0.002,0.7747,-0.0028
2.25,6378854.979,-0.2887,706.5911,-0.002,0.7744,-0.0028
2.26,6378857.785,-0.2912,709.4588,-0.0019,0.7742,-0.0027
2.27,6378860.588,-0.2938,712.3243,-0.0019,0.774,-0.0026
2.28,6378863.388,-0.2964,715.1877,-0.0018,0.7737,-0.0025
2.29,6378866.185,-0.299,718.0491,-0.0017,0.7735,-0.0024
2.3,6378868.979,-0.3016,720.9083,-0.0016,0.7733,-0.0022
2.31,6378871.77,-0.3042,723.7654,-0.0015,0.7732,-0.0021
2.32,6378874.558,-0.3069,726.6205,-0.0014,0.773,-0.002
2.33,6378877.343,-0.3095,729.4734,-0.0014,0.7729,-0.0019
2.34,6378880.125,-0.3121,732.3243,-0.0013,0.7727,-0.0018
2.35,6378882.903,-0.3148,735.1731,-0.0012,0.7726,-0.0017
2.36,6378885.679,-0.3175,738.0198,-0.0012,0.7725,-0.0016
2.37,6378888.452,-0.3201,740.8645,-0.0011,0.7724,-0.0015
2.38,6378891.222,-0.3228,743.707,-0.0011,0.7723,-0.0015
2.39,6378893.989,-0.3255,746.5475,-0.0011,0.7722,-0.0015
2.4,6378896.752,-0.3281,749.386,-0.0011,0.7722,-0.0015
2.41,6378899.513,-0.3308,752.2223,-0.0011,0.7721,-0.0015
2.42,6378902.271,-0.3335,755.0566,-0.0011,0.772,-0.0016
2.43,6378905.026,-0.3362,757.8889,-0.0012,0.7719,-0.0016
2.44,6378907.778,-0.3389,760.7191,-0.0012,0.7718,-0.0017
2.45,6378910.526,-0.3416,763.5472,-0.0013,0.7717,-0.0018
2.46,6378913.272,-0.3443,766.3733,-0.0014,0.7715,-0.0019
2.47,6378916.015,-0.347,769.1973,-0.0015,0.7714,-0.0021
2.48,6378918.755,-0.3497,772.0193,-0.0016,0.7712,-0.0022
2.49,6378921.492,-0.3524,774.8393,-0.0017,0.7711,-0.0023
2.5,6378924.226,-0.3552,777.6572,-0.0018,0.7709,-0.0025
2.51,6378926.957,-0.3579,780.4731,-0.0019,0.7707,-0.0026
2.52,6378929.686,-0.3607,783.287,-0.002,0.7705,-0.0027
2.53,6378932.411,-0.3635,786.0988,-0.002,0.7702,-0.0029
2.54,6378935.133,-0.3663,788.9086,-0.0021,0.77,-0.003
2.55,6378937.853,-0.3691,791.7164,-0.0022,0.7697,-0.003
2.56,6378940.569,-0.3719,794.5222,-0.0022,0.7695,-0.0031
2.57,6378943.283,-0.3748,797.326,-0.0022,0.7692,-0.0032
2.58,6378945.993,-0.3777,800.1278,-0.0023,0.7689,-0.0032
2.59,6378948.701,-0.3805,802.9275,-0.0023,0.7687,-0.0032
2.6,6378951.406,-0.3834,805.7253,-0.0023,0.7684,-0.0032
2.61,6378954.108,-0.3864,808.5211,-0.0022,0.7681,-0.0031
2.62,6378956.807,-0.3893,811.3149,-0.0022,0.7679,-0.0031
2.63,6378959.503,-0.3923,814.1067,-0.0022,0.7676,-0.003
2.64,6378962.196,-0.3952,816.8966,-0.0021,0.7674,-0.0029
2.65,6378964.887,-0.3982,819.6844,-0.002,0.7671,-0.0028
2.66,6378967.574,-0.4012,822.4703,-0.0019,0.7669,-0.0027
2.67,6378970.258,-0.4042,825.2543,-0.0019,0.7667,-0.0026
2.68,6378972.94,-0.4073,828.0362,-0.0018,0.7665,-0.0025
2.69,6378975.619,-0.4103,830.8162,-0.0017,0.7663,-0.0024
2.7,6378978.295,-0.4133,833.5943,-0.0016,0.7662,-0.0023
2.71,6378980.968,-0.4164,836.3704,-0.0015,0.766,-0.0021
2.72,6378983.638,-0.4194,839.1445,-0.0015,0.7659,-0.002
2.73,6378986.305,-0.4225,841.9167,-0.0014,0.7658,-0.002
2.74,6378988.97,-0.4256,844.687,-0.0014,0.7657,-0.0019
2.75,6378991.631,-0.4286,847.4553,-0.0013,0.7656,-0.0018
2.76,6378994.29,-0.4317,850.2217,-0.0013,0.7655,-0.0018
2.77,6378996.946,-0.4348,852.9861,-0.0013,0.7654,-0.0018
2.78,6378999.599,-0.4379,855.7486,-0.0013,0.7653,-0.0018
2.79,6379002.249,-0.441,858.5091,-0.0013,0.7652,-0.0018
2.8,6379004.896,-0.4441,861.2678,-0.0013,0.7651,-0.0018
2.81,6379007.541,-0.4472,864.0245,-0.0014,0.765,-0.0019
2.82,6379010.183,-0.4503,866.7793,-0.0014,0.7649,-0.002
2.83,6379012.822,-0.4534,869.5321,-0.0015,0.7648,-0.0021
2.84,6379015.458,-0.4565,872.2831,-0.0016,0.7646,-0.0022
2.85,6379018.091,-0.4596,875.0321,-0.0017,0.7645,-0.0023
2.86,6379020.721,-0.4627,877.7792,-0.0017,0.7643,-0.0024
2.87,6379023.349,-0.4659,880.5244,-0.0018,0.7642,-0.0026
2.88,6379025.974,-0.469,883.2677,-0.0019,0.764,-0.0027
2.89,6379028.596,-0.4722,886.0091,-0.002,0.7638,-0.0028
2.9,6379031.215,-0.4753,888.7486,-0.0021,0.7636,-0.003
2.91,6379033.832,-0.4785,891.4862,-0.0022,0.7633,-0.0031
2.92,6379036.446,-0.4817,894.2219,-0.0023,0.7631,-0.0032
2.93,6379039.057,-0.4849,896.9557,-0.0023,0.7629,-0.0033
2.94,6379041.665,-0.4882,899.6876,-0.0024,0.7626,-0.0034
2.95,6379044.27,-0.4914,902.4177,-0.0025,0.7623,-0.0035
2.96,6379046.873,-0.4947,905.1458,-0.0025,0.7621,-0.0035
2.97,6379049.473,-0.498,907.8721,-0.0025,0.7618,-0.0035
2.98,6379052.07,-0.5013,910.5965,-0.0025,0.7615,-0.0036
2.99,6379054.664,-0.5046,913.3191,-0.0025,0.7612,-0.0036
3,6379057.256,-0.5079,916.0398,-0.0025,0.7609,-0.0035
3.01,6379059.844,-0.5113,918.7586,-0.0025,0.7607,-0.0035
3.02,6379062.43,-0.5147,921.4756,-0.0024,0.7604,-0.0034
3.03,6379065.014,-0.518,924.1907,-0.0024,0.7601,-0.0033
3.04,6379067.594,-0.5214,926.904,-0.0023,0.7599,-0.0033
3.05,6379070.172,-0.5249,929.6154,-0.0022,0.7597,-0.0032
3.06,6379072.747,-0.5283,932.325,-0.0022,0.7594,-0.0031
3.07,6379075.32,-0.5317,935.0327,-0.0021,0.7592,-0.0029
3.08,6379077.889,-0.5352,937.7386,-0.002,0.759,-0.0028
3.09,6379080.456,-0.5386,940.4427,-0.0019,0.7589,-0.0027
3.1,6379083.02,-0.5421,943.145,-0.0019,0.7587,-0.0026
3.11,6379085.582,-0.5456,945.8454,-0.0018,0.7585,-0.0025
3.12,6379088.14,-0.5491,948.544,-0.0017,0.7584,-0.0024
3.13,6379090.696,-0.5526,951.2408,-0.0017,0.7582,-0.0023
3.14,6379093.25,-0.5561,953.9358,-0.0016,0.7581,-0.0022
3.15,6379095.8,-0.5596,956.6289,-0.0016,0.758,-0.0022
3.16,6379098.348,-0.5631,959.3202,-0.0015,0.7579,-0.0021
3.17,6379100.893,-0.5666,962.0098,-0.0015,0.7578,-0.0021
3.18,6379103.436,-0.5701,964.6975,-0.0015,0.7577,-0.0021
3.19,6379105.976,-0.5736,967.3834,-0.0015,0.7576,-0.0021
3.2,6379108.513,-0.5772,970.0675,-0.0015,0.7575,-0.0021
3.21,6379111.047,-0.5807,972.7498,-0.0016,0.7574,-0.0022
3.22,6379113.579,-0.5842,975.4303,-0.0016,0.7573,-0.0022
3.23,6379116.108,-0.5878,978.1091,-0.0017,0.7571,-0.0023
3.24,6379118.635,-0.5913,980.786,-0.0017,0.757,-0.0024
3.25,6379121.158,-0.5948,983.4611,-0.0018,0.7569,-0.0025
3.26,6379123.679,-0.5984,986.1345,-0.0019,0.7567,-0.0026
3.27,6379126.198,-0.602,988.806,-0.002,0.7566,-0.0028
3.28,6379128.714,-0.6056,991.4758,-0.0021,0.7564,-0.0029
3.29,6379131.227,-0.6091,994.1438,-0.0022,0.7562,-0.003
3.3,6379133.737,-0.6127,996.8101,-0.0022,0.756,-0.0032
3.31,6379136.245,-0.6163,999.4745,-0.0023,0.7558,-0.0033
3.32,6379138.75,-0.62,1002.1372,-0.0024,0.7556,-0.0034
3.33,6379141.253,-0.6236,1004.7981,-0.0025,0.7553,-0.0035
3.34,6379143.753,-0.6273,1007.4573,-0.0026,0.7551,-0.0036
3.35,6379146.25,-0.6309,1010.1147,-0.0026,0.7548,-0.0037
3.36,6379148.745,-0.6346,1012.7704,-0.0027,0.7545,-0.0038
3.37,6379151.237,-0.6383,1015.4243,-0.0027,0.7543,-0.0039
3.38,6379153.727,-0.642,1018.0765,-0.0028,0.754,-0.0039
3.39,6379156.213,-0.6458,1020.7269,-0.0028,0.7537,-0.004
3.4,6379158.698,-0.6495,1023.3756,-0.0028,0.7534,-0.004
3.41,6379161.179,-0.6533,1026.0225,-0.0028,0.7531,-0.004
3.42,6379163.658,-0.6571,1028.6677,-0.0028,0.7528,-0.0039
3.43,6379166.135,-0.6609,1031.3112,-0.0028,0.7526,-0.0039
3.44,6379168.609,-0.6647,1033.953,-0.0027,0.7523,-0.0039
3.45,6379171.08,-0.6685,1036.593,-0.0027,0.752,-0.0038
3.46,6379173.549,-0.6724,1039.2314,-0.0026,0.7518,-0.0037
3.47,6379176.015,-0.6762,1041.868,-0.0026,0.7515,-0.0036
3.48,6379178.478,-0.6801,1044.5029,-0.0025,0.7513,-0.0035
3.49,6379180.939,-0.684,1047.1361,-0.0024,0.7511,-0.0034
3.5,6379183.397,-0.6879,1049.7676,-0.0023,0.7508,-0.0033
3.51,6379185.853,-0.6918,1052.3974,-0.0023,0.7506,-0.0032
3.52,6379188.306,-0.6957,1055.0255,-0.0022,0.7505,-0.0031
3.53,6379190.757,-0.6997,1057.6519,-0.0021,0.7503,-0.003
3.54,6379193.205,-0.7036,1060.2767,-0.0021,0.7501,-0.0029
3.55,6379195.65,-0.7075,1062.8997,-0.002,0.75,-0.0028
3.56,6379198.093,-0.7115,1065.521,-0.0019,0.7498,-0.0027
3.57,6379200.533,-0.7155,1068.1407,-0.0019,0.7497,-0.0026
3.58,6379202.971,-0.7194,1070.7587,-0.0018,0.7495,-0.0026
3.59,6379205.406,-0.7234,1073.375,-0.0018,0.7494,-0.0025
3.6,6379207.839,-0.7274,1075.9896,-0.0018,0.7493,-0.0025
3.61,6379210.269,-0.7313,1078.6026,-0.0018,0.7492,-0.0025
3.62,6379212.697,-0.7353,1081.2139,-0.0018,0.7491,-0.0025
3.63,6379215.122,-0.7393,1083.8235,-0.0018,0.749,-0.0025
3.64,6379217.545,-0.7433,1086.4314,-0.0018,0.7488,-0.0025
3.65,6379219.965,-0.7473,1089.0377,-0.0019,0.7487,-0.0026
3.66,6379222.382,-0.7513,1091.6423,-0.0019,0.7486,-0.0027
3.67,6379224.797,-0.7553,1094.2453,-0.002,0.7485,-0.0027
3.68,6379227.21,-0.7593,1096.8466,-0.002,0.7483,-0.0028
3.69,6379229.62,-0.7633,1099.4462,-0.0021,0.7482,-0.0029
3.7,6379232.027,-0.7674,1102.0442,-0.0022,0.748,-0.003
