[PhaseWarp]
73
Degrees	PhaseWarp
0	14.30733594
5	14.48110057
10	15.97140471
15	15.86586903
20	17.62318796
25	19.822438
30	19.04917736
35	21.30122094
40	23.69732375
45	22.08370838
50	24.48696571
55	27.10216979
60	24.93674533
65	27.25935965
70	24.89751974
75	26.9903503
80	24.49050607
85	26.39819468
90	23.80461219
95	25.24693991
100	22.76552497
105	23.70831456
110	21.379213
115	21.97819147
120	19.74916868
125	20.06383926
130	18.07168459
135	16.38852068
140	16.56417146
145	15.31400939
150	14.35093171
155	14.46435402
160	13.93779837
165	13.70067169
170	13.69251068
175	13.81624566
180	13.93825163
185	15.12737703
190	15.21421702
195	16.9951108
200	19.04553228
205	18.57981115
210	20.69331842
215	23.20196847
220	21.93139134
225	24.26541265
230	27.00981013
235	24.89063392
240	27.38315838
245	25.20618941
250	27.52416315
255	24.99490944
260	27.00278264
265	24.36123016
270	26.1128742
275	23.56687413
280	24.6654564
285	22.2455109
290	22.99891162
295	20.63939778
300	21.07399387
305	18.99317824
310	19.17477788
315	17.37939567
320	15.91617825
325	15.92044532
330	14.88055256
335	14.15528163
340	14.11716719
345	13.74005739
350	13.56863413
355	14.04528974
360	14.30393052
