[PhaseWarp]
73
Degrees	PhaseWarp
0	10.71158449
5	10.91748991
10	10.97630691
15	12.46364082
20	12.10214638
25	13.8073257
30	16.07932486
35	14.97523831
40	17.21951487
45	15.49131202
50	17.98311631
55	20.43566348
60	18.43848094
65	20.86768708
70	18.62701334
75	21.0984043
80	18.47753262
85	20.63800728
90	18.0716113
95	19.96529548
100	17.48117643
105	18.8423954
110	16.48369211
115	14.13036025
120	15.28894659
125	13.20957047
130	13.93003008
135	12.23296192
140	12.65797405
145	11.37763716
150	10.4249149
155	10.79781084
160	10.24970784
165	10.04752039
170	10.08326232
175	10.27467329
180	10.50567063
185	10.64856778
190	11.9964266
195	11.90797374
200	13.70600236
205	13.10882573
210	15.05461672
215	17.31872479
220	15.98358733
225	18.43528853
230	21.04195449
235	19.12600329
240	21.72401215
245	19.50586701
250	21.98757321
255	19.54919207
260	21.76306055
265	19.34698955
270	21.32802842
275	18.60865356
280	20.24901989
285	17.79636108
290	18.8791162
295	16.57341159
300	14.31501508
305	15.09141451
310	13.15239639
315	13.66670559
320	12.15412344
325	12.3724725
330	11.26200083
335	10.50338687
340	10.06874542
345	10.25629736
350	10.0707694
355	10.03766886
360	10.70692704
