[PhaseWarp]
73
Degrees	PhaseWarp
0	15.59975934
5	16.81184128
10	16.89490648
15	18.57172691
20	20.6419153
25	19.99420111
30	22.20173724
35	24.62106136
40	27.15239732
45	25.4375172
50	27.93653964
55	30.41609145
60	28.35504196
65	30.49640678
70	28.26090218
75	30.1329189
80	27.59908861
85	29.26166533
90	26.65535592
95	27.8573682
100	25.37422777
105	26.09728636
110	23.77553755
115	24.17581922
120	21.96823671
125	22.02678326
130	20.14334995
135	18.41834953
140	18.44982155
145	17.17511302
150	16.23186445
155	16.16640323
160	15.62976163
165	15.37570696
170	15.32295057
175	15.38391809
180	16.41018542
185	16.60865629
190	18.33181136
195	18.25406252
200	20.255459
205	22.46758542
210	21.64878831
215	23.8594057
220	26.48599736
225	29.02435987
230	27.22950714
235	29.69464482
240	27.45084258
245	29.78441049
250	31.86094145
255	29.45621431
260	31.15542278
265	28.64004866
270	29.88164408
275	27.30344691
280	28.19812139
285	25.6193794
290	26.05192996
295	23.77900311
300	21.49541003
305	21.71075343
310	19.77883149
315	19.74173565
320	18.19368398
325	16.99493013
330	16.90017784
335	16.08636579
340	15.59005644
345	15.38163043
350	15.37471484
355	15.47396974
360	15.59781096
