[PhaseWarp]
73
Degrees	PhaseWarp
0	8.501941261
5	8.648875896
10	8.597345899
15	9.875984351
20	9.484096273
25	11.01033304
30	13.10110137
35	11.97639852
40	14.05657967
45	12.43589662
50	14.78177983
55	12.72258563
60	15.21108201
65	17.95684201
70	15.58470238
75	18.01957112
80	15.63627542
85	13.07751278
90	15.42994812
95	12.74768615
100	14.85161354
105	12.45635758
110	14.02659451
115	11.78300028
120	12.97226873
125	10.96441642
130	11.81852461
135	10.05875485
140	8.623153783
145	9.3291329
150	8.372829125
155	8.844359532
160	8.31340758
165	8.097508029
170	8.129019926
175	8.338580377
180	8.605223636
185	8.804920022
190	10.09269887
195	10.09514651
200	11.93048918
205	11.42982303
210	13.44146304
215	12.34371512
220	14.64426625
225	13.05048233
230	15.30255401
235	18.06805665
240	15.98255657
245	18.5655156
250	16.19697874
255	18.83588019
260	16.25043364
265	18.5754254
270	16.01717536
275	18.06292562
280	15.38849403
285	12.98145172
290	14.64788885
295	12.23611559
300	13.49164415
305	11.33591661
310	12.12862618
315	10.43206967
320	10.90532
325	9.588300728
330	8.540946655
335	9.002362414
340	8.425094675
345	8.142826111
350	8.139245801
355	8.293513863
360	8.497579814
