[PhaseWarp]
73
Degrees	PhaseWarp
0	17.80221395
5	17.88174283
10	19.47356322
15	21.38451293
20	21.06201859
25	23.18767246
30	25.59673443
35	28.03525029
40	26.64862814
45	29.03271098
50	31.43339927
55	29.47861458
60	31.79071058
65	33.90516489
70	31.43578713
75	33.2440414
80	30.67760424
85	32.08453002
90	29.46517068
95	30.42119327
100	27.93318823
105	28.54749755
110	26.11387502
115	26.31363394
120	24.11946563
125	24.007885
130	22.06858688
135	20.42944156
140	20.2081728
145	18.95185028
150	17.98392697
155	17.79842286
160	17.23334932
165	16.93924032
170	16.83300639
175	17.55718909
180	17.80638208
185	17.93922978
190	19.55369645
195	21.48806702
200	21.1821098
205	23.32553635
210	25.5657854
215	28.16797703
220	26.63308641
225	29.19647691
230	31.61441634
235	34.1227214
240	31.8055096
245	33.92448137
250	31.6302753
255	33.26703194
260	30.86430379
265	32.25830353
270	29.63606418
275	30.57511513
280	28.08268647
285	28.56477369
290	26.23943136
295	26.41998936
300	24.13149964
305	24.0903111
310	22.14360788
315	20.42741416
320	20.25950117
325	18.98430141
330	18.01593571
335	17.81928243
340	17.24323588
345	16.93984011
350	16.82228083
355	17.52071787
360	17.75835544
