[Cx0]
21
Mach	CX0
0.81	9963.09
0.82	10081.06
0.83	10198.91
0.84	10316.65
0.85	10434.27
0.86	10551.77
0.87	10669.16
0.88	10786.43
0.89	10903.59
0.90	11020.63
0.91	11137.55
0.92	11254.36
0.93	11371.05
0.94	11487.63
0.95	11604.10
0.96	11720.45
0.97	11836.68
0.98	11952.80
0.99	12068.81
1.00	12184.70
1.01	12300.48
1.02	12416.15
1.03	12531.70
1.04	12647.14
1.05	12762.46
1.06	12877.68
1.07	12992.78
1.08	13107.77
1.09	13222.64
1.10	13337.41
1.11	13452.06
1.12	13566.60
1.13	13681.03
1.14	13795.35
1.15	13909.55
1.16	14023.65
1.17	14137.63
1.18	14251.51
1.19	14365.27
1.20	14478.92
1.21	14592.47
1.22	14705.90
1.23	14819.22
1.24	14932.44
1.25	15045.54
1.26	15158.54
1.27	15271.42
1.28	15384.20
1.29	15496.87
1.30	15609.43
1.31	15721.88
1.32	15834.22
1.33	15946.46
1.34	16058.58
1.35	16170.60
1.36	16282.51
1.37	16394.32
1.38	16506.02
1.39	16617.61
1.40	16729.09
1.41	16840.47
1.42	16951.74
1.43	17062.90
1.44	17173.96
1.45	17284.91
1.46	17395.75
1.47	17506.49
1.48	17617.13
1.49	17727.66
1.50	17838.08
1.51	17948.40
1.52	18058.61
1.53	18168.72
1.54	18278.73
1.55	18388.63
1.56	18498.42
1.57	18608.11
1.58	18717.70
1.59	18827.18
1.60	18936.57
1.61	19045.84
1.62	19155.02
1.63	19264.09
1.64	19373.05
1.65	19481.92
1.66	19590.68
1.67	19699.34
1.68	19807.90
1.69	19916.36
1.70	20024.71
1.71	20132.96
1.72	20241.11
1.73	20349.16
1.74	20457.11
1.75	20564.95
1.76	20672.70
1.77	20780.34
1.78	20887.88
1.79	20995.32
1.80	21102.67
1.81	21209.91
1.82	21317.05
1.83	21424.09
1.84	21531.03
1.85	21637.87
1.86	21744.62
1.87	21851.26
1.88	21957.80
1.89	22064.25
1.90	22170.59
1.91	22276.84
1.92	22382.99
1.93	22489.04
1.94	22594.99
1.95	22700.84
1.96	22806.60
1.97	22912.25
1.98	23017.81
1.99	23123.28
2.00	23228.64
2.01	23333.91
2.02	23439.08
2.03	23544.15
2.04	23649.13
2.05	23754.00
2.06	23858.79
2.07	23963.47
2.08	24068.06
2.09	24172.56
2.10	24276.95
2.11	24381.26
2.12	24485.46
2.13	24589.57
2.14	24693.59
2.15	24797.51
2.16	24901.33
2.17	25005.06
2.18	25108.70
2.19	25212.24
2.20	25315.68
2.21	25419.04
2.22	25522.29
2.23	25625.46
2.24	25728.52
2.25	25831.50
2.26	25934.38
2.27	26037.17
2.28	26139.86
2.29	26242.47
2.30	26344.98
2.31	26447.39
2.32	26549.71
2.33	26651.95
2.34	26754.08
2.35	26856.13
2.36	26958.08
2.37	27059.95
2.38	27161.72
2.39	27263.39
2.40	27364.98
2.41	27466.48
2.42	27567.88
2.43	27669.19
2.44	27770.42
2.45	27871.55
2.46	27972.59
2.47	28073.54
2.48	28174.40
2.49	28275.17
2.50	28375.85
2.51	28476.44
2.52	28576.94
2.53	28677.35
2.54	28777.67
2.55	28877.90
2.56	28978.04
2.57	29078.10
2.58	29178.06
2.59	29277.93
2.60	29377.72
2.61	29477.42
2.62	29577.03
2.63	29676.55
2.64	29775.98
2.65	29875.33
2.66	29974.59
2.67	30073.76
2.68	30172.84
2.69	30271.83
2.70	30370.74
